Disco,Artista,Ano,Capa,Spotify,YouTubeMusic,Tipo
All the Right Reasons,Nickelback,2005,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/f8/e0/db/f8e0db52-f6e5-5d85-6e0a-ae73e5caab11/mzi.qohxegpg.jpg/600x600bb.jpg,https://open.spotify.com/search/Nickelback%20All%20the%20Right%20Reasons,https://music.youtube.com/search?q=Nickelback%20All%20the%20Right%20Reasons,disco
The Long Road,Nickelback,2003,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/ad/30/ed/ad30ed43-adb2-4e55-c685-4647630c08f9/mzi.epyljfva.jpg/600x600bb.jpg,https://open.spotify.com/search/Nickelback%20The%20Long%20Road,https://music.youtube.com/search?q=Nickelback%20The%20Long%20Road,disco
Acustico MTV: O Rappa,O Rappa,2005,https://is1-ssl.mzstatic.com/image/thumb/Music/84/51/9b/mzi.iwhuupde.jpg/600x600bb.jpg,https://open.spotify.com/search/O%20Rappa%20Acustico%20MTV%3A%20O%20Rappa,https://music.youtube.com/search?q=O%20Rappa%20Acustico%20MTV%3A%20O%20Rappa,disco
Lado B Lado A,O Rappa,1999,https://is1-ssl.mzstatic.com/image/thumb/Music/d6/1b/b4/mzi.bsprrwtu.jpg/600x600bb.jpg,https://open.spotify.com/search/O%20Rappa%20Lado%20B%20Lado%20A,https://music.youtube.com/search?q=O%20Rappa%20Lado%20B%20Lado%20A,disco
Rappa-Mundi,O Rappa,1996,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/c5/b5/41/c5b54182-c3c3-6ea1-b05a-a4f9f445a654/706301283264.jpg/600x600bb.jpg,https://open.spotify.com/search/O%20Rappa%20Rappa-Mundi,https://music.youtube.com/search?q=O%20Rappa%20Rappa-Mundi,disco
Acústico (Live),Os Paralamas do Sucesso,1999,https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/a9/63/e3/a963e342-490b-d1a8-b885-d235c042aa99/00602567112143.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/Os%20Paralamas%20do%20Sucesso%20Ac%C3%BAstico%20(Live),https://music.youtube.com/search?q=Os%20Paralamas%20do%20Sucesso%20Ac%C3%BAstico%20(Live),disco
Ten,Pearl Jam,1991,https://yt3.googleusercontent.com/OFbHAl0CZa2BKjLckDDlmAGYJNavMkOmGF8yiF5Yq-WE0vTcr8yugqkpvmxg5PVtjc_mpFwzAZoAp1E=w544-h544-l90-rj,https://open.spotify.com/search/Pearl%20Jam%20Ten,https://music.youtube.com/playlist?list=OLAK5uy_nCmmq03HsHVw9jrLUPm1SfKXIwuCQ1hXk,disco
By the Way,Red Hot Chili Peppers,2002,https://yt3.googleusercontent.com/HYR8U4pclrcsSs6wals06_TmmOjIII7nmBgSAMO6-qkWptWWs3762EaGU1VanfqI4SAA_I7TS264LQqa=w544-h544-l90-rj,https://open.spotify.com/search/Red%20Hot%20Chili%20Peppers%20By%20the%20Way,https://music.youtube.com/playlist?list=OLAK5uy_mMa5i7OJDtHbIxX8Vl87xVzphCfy24Bhw,disco
Californication,Red Hot Chili Peppers,1999,https://yt3.googleusercontent.com/vEzFuxLILzCtIKEdZWOwSoIfXN3462-JcZ7AYXgV7i9n06NzazzUQOloJ7ghh2Weswt7OcJQH79BI9kePA=w512-h512-l90-rj,https://open.spotify.com/search/Red%20Hot%20Chili%20Peppers%20Californication,https://music.youtube.com/playlist?list=OLAK5uy_k0m6GFd6LBWiGm06Xc7kNhzPqnxt0ObJM,disco
MTV ao Vivo,Skank,2001,https://yt3.googleusercontent.com/aoqgxNHhUABDDgDjtOkZS5OvEw4rUKgA68icoot7hXBvdNg-AYv_b59J-W_HkHL6O2jGbI8WeMJBwFNP=w544-h544-l90-rj,https://open.spotify.com/search/Skank%20MTV%20ao%20Vivo,https://music.youtube.com/playlist?list=OLAK5uy_l6X7smE2yt90O1BuNaPcmeXnnd47av09s,disco
200 KM/H In the Wrong Lane,t.A.T.u.,2002,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/cb/7d/73/cb7d73a3-b77f-aec4-b1ee-dd759c35374c/06UMGIM34819.rgb.jpg/600x600bb.jpg,https://open.spotify.com/search/t.A.T.u.%20200%20KM%2FH%20In%20the%20Wrong%20Lane,https://music.youtube.com/search?q=t.A.T.u.%20200%20KM%2FH%20In%20the%20Wrong%20Lane,disco
Camino Palmero,The Calling,2000,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/e5/47/b0/e547b0ee-b253-8448-9c34-615cd81de662/mzi.dhcovkbe.jpg/600x600bb.jpg,https://open.spotify.com/search/The%20Calling%20Camino%20Palmero,https://music.youtube.com/search?q=The%20Calling%20Camino%20Palmero,disco
